ID,Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,Birthdate
398,Dmitry Rybolovlev,6.7,Russia,fertilizer,391,54,"Monaco, Monaco",Russia,Divorced,2,"Medical Doctor, Perm Medical Institute",True,1971-01-01
399,Reinhold Schmieding,6.7,United States,medical devices,391,66,"Naples, Florida",United States,Married,2,"Bachelor of Arts/Science, Michigan State University",True,1959-01-01
400,Francis Choi,6.6,Hong Kong,real estate,400,73,"Hong Kong, Hong Kong",Hong Kong,Married,3,,True,1952-01-01
401,Bruce Kovner,6.6,United States,hedge funds,400,76,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, Harvard University",True,1949-01-01
402,Wang Wenjing,6.6,China,business software,400,56,"Beijing, China",China,Married,1,"Bachelor of Arts/Science, Jiangxi University of Finance & Economics",True,1969-01-01
403,Zeng Fangqin,6.6,China,smartphone components,400,55,"Shenzhen, China",China,,0,,True,1970-01-01
404,Brian Armstrong,6.5,United States,cryptocurrency,404,38,"San Francisco, California",United States,,0,"Bachelor of Arts/Economics, Rice University; Master of Arts/Science, Rice University",True,1987-01-01
405,Chu Mang Yee & family,6.5,China,real estate,404,61,"Guangzhou, China",China,Married,1,,True,1964-01-01
406,Denise Coates,6.5,United Kingdom,online gambling,404,53,"Stoke-on-Trent, United Kingdom",United Kingdom,Married,5,,True,1972-01-01
407,Gopikishan Damani,6.5,India,"retail, investments",404,63,"Mumbai, India",India,Married,2,,True,1962-01-01
408,James Goodnight,6.5,United States,software,404,78,"Cary, North Carolina",United States,Married,3,"Bachelor of Arts/Science, North Carolina State University; Doctorate, North Carolina State University; Master of Science, North Carolina State University",True,1947-01-01
409,Antti Herlin,6.5,Finland,"elevators, escalators",404,64,"Kirkkonummi, Finland",Finland,Married,4,,False,1961-01-01
410,Liu Yongxing,6.5,China,diversified,404,72,"Shanghai, China",China,Married,1,,True,1953-01-01
411,Sri Prakash Lohia,6.5,Indonesia,petrochemicals,404,68,"London, United Kingdom",Indonesia,Married,2,"Bachelor of Arts/Science, Delhi University",False,1957-01-01
412,John Overdeck,6.5,United States,hedge funds,404,51,"Millburn, New Jersey",United States,Married,3,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University",True,1974-01-01
413,Prajogo Pangestu,6.5,Indonesia,petrochemicals,404,76,"Jakarta, Indonesia",Indonesia,Married,3,,False,1949-01-01
414,Horst Julius Pudwill,6.5,Germany,manufacturing,404,76,"Hong Kong, Hong Kong",Germany,Married,1,"Master of Science in Engineering, Technical College in Flensburg",True,1949-01-01
415,David Siegel,6.5,United States,hedge funds,404,86,"Windermere, Florida",United States,Married,13,"Drop Out, University of Miami",True,1939-01-01
416,Ronda Stryker,6.5,United States,medical equipment,404,67,"Portage, Michigan",United States,Married,3,"Bachelor of Arts/Science, University of Northern Colorado; Master of Arts, Western Michigan University",False,1958-01-01
417,Georg Stumpf,6.5,Austria,"real estate, construction",404,48,"Vienna, Austria",Austria,In Relationship,0,,True,1977-01-01
418,Pauline MacMillan Keinath,6.4,United States,Cargill,418,87,"St. Louis, Missouri",United States,Married,4,,False,1938-01-01
419,Wang Yusuo & family,6.4,China,natural gas distribution,418,57,"Langfang, China",China,Married,0,"Bachelor of Arts/Science, People's University of China; Doctorate, Tianjin University",True,1968-01-01
420,Dennis Washington,6.4,United States,"construction, mining",418,86,"Missoula, Montana",United States,Married,2,"Diploma, High School",True,1939-01-01
421,Rahul Bajaj,6.3,India,diversified,421,82,"Pune, India",India,Widowed,3,"Master of Business Administration, Harvard University",False,1943-01-01
422,Ashwin Dani & family,6.3,India,paints,421,78,"Mumbai, India",India,Married,3,"Bachelor of Arts/Science, Bombay University; Master of Science, University of Akron",False,1947-01-01
423,Andreas Halvorsen,6.3,Norway,hedge funds,421,60,"Darien, Connecticut",Norway,Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Williams College",True,1965-01-01
424,Andrei Kozitsyn,6.3,Russia,metals,421,60,"Verkhniaya Pyshma, Russia",Russia,Married,1,"Bachelor of Science in Engineering, Ural Polytechnic Institute",True,1965-01-01
425,Axel Oberwelland,6.3,Germany,candy,421,54,"Berlin, Germany",Germany,Married,0,,False,1971-01-01
426,Shi Yuzhu,6.3,China,"online games, investments",421,58,"Shanghai, China",China,Divorced,1,"Master of Science, Shenzhen University; Bachelor of Arts/Science, Zhejiang University",True,1967-01-01
427,Tsai Eng-meng,6.3,Taiwan,"food, beverages",421,64,"Shanghai, China",Taiwan,Married,2,,False,1961-01-01
428,Murat Ulker,6.3,Turkey,food,421,62,"Istanbul, Turkey",Turkey,Married,3,"Bachelor of Arts/Science, Bogazici University",False,1963-01-01
429,Wang Junlin,6.3,China,liquor,421,58,"Chengdu, China",China,Married,0,,True,1967-01-01
430,Wang Ning & family,6.3,China,toys,421,34,"Beijing, China",China,Married,0,,True,1991-01-01
431,You Xiaoping,6.3,China,"chemicals, spandex",421,63,"Wenzhou, China",China,Married,2,,True,1962-01-01
432,Arthur Blank,6.2,United States,Home Depot,432,78,"Atlanta, Georgia",United States,Divorced,6,"Bachelor of Arts/Science, Babson College",True,1947-01-01
433,James Chambers,6.2,United States,"media, automotive",432,64,"Palisades, New York",United States,Married,0,"Bachelor of Arts/Science, Bard College",False,1961-01-01
434,Jiang Bin,6.2,China,acoustic components,432,54,"Weifang, China",China,Married,1,"Bachelor of Arts/Science, Beijing University of Aeronautics and Astronautics; Master of Business Administration, Tsinghua University",True,1971-01-01
435,Jason Jiang,6.2,China,advertising,432,48,"Shanghai, China",China,Married,0,"Bachelor of Arts/Science, Huadong Normal University; Bachelor of Arts/Science, Huadong Normal University",True,1977-01-01
436,Mitchell Rales,6.2,United States,"manufacturing, investments",432,64,"Potomac, Maryland",United States,Married,2,"Bachelor of Arts/Science, Miami University of Ohio",True,1961-01-01
437,Katharine Rayner,6.2,United States,"media, automotive",432,76,"East Hampton, New York",United States,Widowed,0,,False,1949-01-01
438,Margaretta Taylor,6.2,United States,"media, automotive",432,79,"Southampton, New York",United States,,0,,False,1946-01-01
439,Stef Wertheimer & family,6.2,Israel,metalworking tools,432,94,"tel aviv, Israel",Israel,Married,4,,True,1931-01-01
440,Mike Adenuga,6.1,Nigeria,"telecom, oil",440,68,"Lagos, Nigeria",Nigeria,Married,7,"Master of Business Administration, Pace University",True,1957-01-01
441,Charles Dolan & family,6.1,United States,cable television,440,94,"Oyster Bay, New York",United States,Married,6,"Drop Out, John Carroll University",True,1931-01-01
442,Marcos Galperin,6.1,Argentina,e-commerce,440,0,"Buenos Aires, Argentina",Argentina,,0,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True,0000-01-01
443,Huang Li,6.1,China,imaging systems,440,57,"Wuhan, China",China,Married,0,"Master of Science, Huazhong University of Science and Technology",True,1968-01-01
444,Law Kar Po,6.1,Hong Kong,real estate,440,72,"Hong Kong, Hong Kong",Hong Kong,Married,3,,False,1953-01-01
445,Li Wa,6.1,Hong Kong,real estate,440,55,"Shenzhen, China",Hong Kong,,0,"Bachelor of Arts/Science, South China University of Technology",True,1970-01-01
446,Idan Ofer,6.1,Israel,"drilling, shipping",440,65,"London, United Kingdom",Israel,Married,5,,False,1960-01-01
447,Qian Dongqi & family,6.1,China,household appliances,440,63,"Suzhou, China",China,Married,0,"Master of Philosophy, Nanjing University",True,1962-01-01
448,Odd Reitan & family,6.1,Norway,"retail, real estate",440,69,"Trondheim, Norway",Norway,Married,2,,False,1956-01-01
449,Henry Samueli,6.1,United States,semiconductors,440,66,"Newport Beach, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",True,1959-01-01
450,Les Wexner & family,6.1,United States,retail,440,83,"New Albany, Ohio",United States,Married,4,"Bachelor of Arts/Science, Ohio State University",True,1942-01-01
451,Dannine Avara,6.0,United States,pipelines,451,57,"Houston, Texas",United States,Married,0,,False,1968-01-01
452,Juergen Blickle,6.0,Germany,auto parts,451,74,"Bruchsal, Germany",Germany,Married,0,,False,1951-01-01
453,Robert Brockman,6.0,United States,Software,451,79,"Houston, Texas",United States,Married,1,"Bachelor of Business Administration, University of Florida",True,1946-01-01
454,Mong-Koo Chung,6.0,South Korea,Hyundai,451,83,"Seoul, South Korea",South Korea,Married,4,"Bachelor of Arts/Science, Hanyang University",False,1942-01-01
455,Dulce Pugliese de Godoy Bueno,6.0,Brazil,"hospitals, health care",451,73,"Sao Paulo, Brazil",Brazil,Divorced,1,"Doctorate, The University of Texas at Austin; Medical Doctor, Universidade Federal do Rio de Janeiro",True,1952-01-01
456,Daniel Dines,6.0,Romania,software,451,49,"New York, New York",Romania,Married,1,"Bachelor of Science, University of Bucharest; Master of Science, University of Bucharest",True,1976-01-01
457,Scott Duncan,6.0,United States,pipelines,451,38,"Houston, Texas",United States,Single,0,Houston Community College,False,1987-01-01
458,Judy Faulkner,6.0,United States,health IT,451,77,"Madison, Wisconsin",United States,Married,3,"Bachelor of Arts/Science, Dickinson College; Master of Science, University of Wisconsin",True,1948-01-01
459,Guenther Fielmann & family,6.0,Germany,optometry,451,81,"Hamburg, Germany",Germany,In Relationship,2,,True,1944-01-01
460,Milane Frantz,6.0,United States,pipelines,451,51,"Houston, Texas",United States,Married,0,"Master of Arts, University of Houston",False,1974-01-01
461,Frits Goldschmeding,6.0,Netherlands,temp agency,451,87,"Amsterdam, Netherlands",Netherlands,Married,3,"Doctorate, Free University of Amsterdam",True,1938-01-01
462,Andrei Guriev & family,6.0,Russia,fertilizers,451,61,"Moscow, Russia",Russia,Married,2,"Master, Saint Petersburg Mining University; Bachelor of Arts/Science, State Central Institute of Physical Culture",True,1964-01-01
463,Jane Lauder,6.0,United States,Estée Lauder,451,48,"New York, New York",United States,Married,0,"Bachelor of Arts/Science, Stanford University",False,1977-01-01
464,Martin Lorentzon,6.0,Sweden,Spotify,451,52,"Stockholm, Sweden",Sweden,Single,0,,True,1973-01-01
465,Isaac Perlmutter,6.0,United States,Marvel comics,451,78,"Palm Beach, Florida",United States,Married,0,,True,1947-01-01
466,Jeff Skoll,6.0,United States,eBay,451,56,"Los Angeles, California",United States,Single,0,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Toronto",True,1969-01-01
467,Robert F. Smith,6.0,United States,private equity,451,58,"Austin, Texas",United States,Married,7,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Cornell University",True,1967-01-01
468,John A. Sobrato & family,6.0,United States,real estate,451,81,"Atherton, California",United States,Married,3,"Bachelor of Arts/Science, Santa Clara University",True,1944-01-01
469,Ronald Wanek,6.0,United States,furniture,451,79,"Saint Petersburg, Florida",United States,Married,3,"High School Graduate, High School",True,1946-01-01
470,Randa Duncan Williams,6.0,United States,pipelines,451,59,"Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, Rice University; Doctor of Jurisprudence, University of Houston",False,1966-01-01
471,Hansjoerg Wyss,6.0,Switzerland,medical devices,451,86,"Wilson, Wyoming",Switzerland,Divorced,1,"Master of Business Administration, Harvard University; Master of Science, Swiss Federal Institute of Technology",True,1939-01-01
472,Chen Fashu,5.9,China,investments,472,60,"Fuzhou, China",China,Married,4,China Europe International Business School,True,1965-01-01
473,Chen Rui,5.9,China,online entertainment,472,43,"Shanghai, China",China,,0,,True,1982-01-01
474,Christopher Hohn,5.9,United Kingdom,hedge funds,472,54,"London, United Kingdom",United Kingdom,Divorced,0,"Master of Business Administration, Harvard Business School",True,1971-01-01
475,Lin Jianhua & family,5.9,China,solar panel components,472,58,"Hangzhou, China",China,Married,0,,True,1967-01-01
476,Maria Asuncion Aramburuzabala & family,5.8,Mexico,"beer, investments",476,58,"Mexico City, Mexico",Mexico,Divorced,2,"Bachelor of Arts/Science, Instituto Tecnológico Autónomo de México",False,1967-01-01
477,Chan Laiwa & family,5.8,China,real estate,476,80,"Beijing, China",China,Married,3,"Doctorate, Savannah College of Art and Design",True,1945-01-01
478,George Kaiser,5.8,United States,"oil & gas, banking",476,78,"Tulsa, Oklahoma",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University",False,1947-01-01
479,Ananda Krishnan,5.8,Malaysia,"telecoms, media, oil-services",476,83,"Kuala Lumpur, Malaysia",Malaysia,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Melbourne University",True,1942-01-01
480,Douglas Leone,5.8,United States,venture capital,476,63,"Atherton, California",United States,Married,4,"Master of Science, Columbia University; Bachelor of Arts/Science, Cornell University; Master of Business Administration, MIT Sloan School of Management",True,1962-01-01
481,Li Chunan,5.8,China,renewable energy,476,52,"Fushun, China",China,,0,,True,1973-01-01
482,Li Ping,5.8,Hong Kong,batteries,476,0,,,,0,,,0000-01-01
483,William Li,5.8,China,electric vehicles,476,46,"Beijing, China",China,,0,,True,1979-01-01
484,Augusto & Giorgio Perfetti,5.8,Italy,candy,476,0,"Lugano, Switzerland",Italy,,0,,False,0000-01-01
485,Meg Whitman,5.8,United States,eBay,476,64,"Los Angeles, California",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Princeton University",True,1961-01-01
486,Neil Bluhm,5.7,United States,real estate,486,83,"Chicago, Illinois",United States,Divorced,3,"Doctor of Jurisprudence, Northwestern University; Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",True,1942-01-01
487,Andrew Currie,5.7,United Kingdom,chemicals,486,65,"London, United Kingdom",United Kingdom,,0,"Bachelor of Arts/Science, Cambridge University",True,1960-01-01
488,Tom Gores,5.7,United States,private equity,486,56,"Beverly Hills, California",United States,Married,3,"Bachelor of Arts/Science, Michigan State University",True,1969-01-01
489,Michel Leclercq & family,5.7,France,sporting goods,486,81,"Lille, France",France,Married,4,,False,1944-01-01
490,Michael Moritz,5.7,United States,venture capital,486,66,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Christ Church, Oxford University; Master of Business Administration, University of Pennsylvania, The Wharton School",True,1959-01-01
491,Nicolas Puech,5.7,France,Hermes,486,78,"Martigny, Switzerland",France,,0,,False,1947-01-01
492,John Reece,5.7,United Kingdom,chemicals,486,64,"London, United Kingdom",United Kingdom,,0,"Bachelor of Arts/Science, Cambridge University",True,1961-01-01
493,Emanuele (Lino) Saputo & family,5.7,Canada,cheese,486,84,"Montreal, Canada",Canada,Married,3,"Diploma, High School",False,1941-01-01
494,Fred Smith,5.7,United States,FedEx,486,0,,United States,,0,,,0000-01-01
495,Teh Hong Piow,5.7,Malaysia,banking,486,91,"Kuala Lumpur, Malaysia",Malaysia,Married,4,"Bachelor of Arts/Science, University of Malaya",True,1934-01-01
496,Rene Benko,5.6,Austria,"real estate, retail",496,44,Austria,Austria,Married,4,,True,1981-01-01
497,Jack Dangermond,5.6,United States,mapping software,496,75,"Redlands, California",United States,Married,0,"Bachelor of Arts/Science, California State Polytechnical University; Master of Science, Harvard University; Master of Science, University of Minnesota",True,1950-01-01
498,Stanley Druckenmiller,5.6,United States,hedge funds,496,67,"New York, New York",United States,Married,0,"Bachelor of Arts/Science, Bowdoin College",True,1958-01-01
499,Tamara Gustavson,5.6,United States,self storage,496,59,"Lexington, Kentucky",United States,Married,2,"Bachelor of Arts/Science, University of Southern California",False,1966-01-01
500,Jian Jun,5.6,China,biomedical products,496,57,"Beijing, China",China,,0,"Master of Business Administration, Tsinghua University",True,1968-01-01
501,Kwee brothers,5.6,Singapore,Real Estate,496,0,"Singapore, Singapore",Singapore,,0,,False,0000-01-01
502,Clive Calder,5.5,United Kingdom,record label,502,74,"Grand Cayman, Cayman Islands",United Kingdom,Married,2,,True,1951-01-01
503,Hasmukh Chudgar & family,5.5,India,pharmaceuticals,502,87,"Ahmedabad, India",India,Married,3,,True,1938-01-01
504,Dagmar Dolby & family,5.5,United States,Dolby Laboratories,502,79,"San Francisco, California",United States,Widowed,2,"Bachelor of Arts/Science, Heidelberg University",False,1946-01-01
505,Dong Wei,5.5,China,pharmaceuticals,502,50,"Lianyungang, China",China,,0,,True,1975-01-01
506,Ken Fisher,5.5,United States,money management,502,70,"Camas, Washington",United States,Married,3,"Bachelor of Arts/Science, Humboldt State University",True,1955-01-01
507,Ivan Glasenberg,5.5,Switzerland,mining,502,64,"Ruschlikon, Switzerland",Switzerland,Married,2,"Master of Business Administration, Marshall School of Business; Bachelor of Arts/Science, University of Witwatersrand",True,1961-01-01
508,He Xiaopeng,5.5,China,electric vehicles,502,43,"Guangzhou, China",China,,0,,True,1982-01-01
509,Sumet Jiaravanon,5.5,Thailand,diversified,502,86,"Bangkok, Thailand",Thailand,,0,,False,1939-01-01
510,Karel Komarek,5.5,Czechia,"oil and gas, IT, lotteries",502,52,"Verbier, Switzerland",Czechia,Married,4,"Diploma, Hahnemann Medical College",True,1973-01-01
511,Ronald Lauder,5.5,United States,Estee Lauder,502,77,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",False,1948-01-01
512,Mu Rongjun,5.5,China,e-commerce,502,41,"Beijing, China",China,,0,"Bachelor of Engineering, Tsinghua University; Master, Tsinghua University",True,1984-01-01
513,J. Christopher Reyes,5.5,United States,food distribution,502,67,"Hobe Sound, Florida",United States,Married,4,"Bachelor of Arts/Science, University of Maryland",True,1958-01-01
514,Jude Reyes,5.5,United States,food distribution,502,65,"Palm Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, Wofford College",True,1960-01-01
515,Kjell Inge Rokke,5.5,Norway,"shipping, seafood",502,62,"Vettre, Norway",Norway,Married,4,,True,1963-01-01
516,"Edward Roski, Jr.",5.5,United States,real estate,502,82,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, University of Southern California",False,1943-01-01
517,Alexandra Schoerghuber,5.5,Germany,real estate,502,62,"Munich, Germany",Germany,Widowed,3,,False,1963-01-01
518,Shu Ping,5.5,Singapore,restaurants,502,0,"Singapore, Singapore",Singapore,Married,0,,True,0000-01-01
519,Christoph Zeller,5.5,Liechtenstein,dental implants,502,64,"Vaduz, Liechtenstein",Liechtenstein,Married,0,,False,1961-01-01
520,An Kang,5.4,China,pharmaceuticals,520,72,"Xinxiang, China",China,Married,0,"Bachelor of Arts/Science, Henan Normal University",True,1953-01-01
521,Rainer Blickle,5.4,Germany,auto parts,520,73,"Bruchsal, Germany",Germany,Married,0,,False,1952-01-01
522,Jaran Chiaravanont,5.4,Thailand,diversified,520,91,"Bangkok, Thailand",Thailand,,0,,False,1934-01-01
523,Alceu Elias Feldmann,5.4,Brazil,fertilizer,520,71,"Curitiba, Brazil",Brazil,Divorced,3,,True,1954-01-01
524,Montri Jiaravanont,5.4,Thailand,diversified,520,90,"Bangkok, Thailand",Thailand,,0,,False,1935-01-01
525,"Henry Nicholas, III.",5.4,United States,semiconductors,520,61,"Newport Coast, California",United States,Divorced,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",True,1964-01-01
526,Terrence Pegula,5.4,United States,natural gas,520,70,"Boca Raton, Florida",United States,Married,5,"Bachelor of Science in Engineering, Pennsylvania State University",True,1955-01-01
527,Carrie Perrodo & family,5.4,France,oil,520,70,"London, United Kingdom",France,Widowed,3,,False,1955-01-01
528,Harry Stine,5.4,United States,agriculture,520,79,"Adel, Iowa",United States,Married,4,,True,1946-01-01
529,Pyotr Aven,5.3,Russia,"oil, banking, telecom",529,66,"Moscow, Russia",Russia,Married,3,"Ph.D, Moscow State University",True,1959-01-01
530,Kapil & Rahul Bhatia,5.3,India,airlines,529,0,"Delhi, India",India,,0,"Bachelor of Science in Engineering, University of Waterloo",True,0000-01-01
531,Cao Renxian,5.3,China,photovoltaic equipment,529,52,"Hefei, China",China,Married,0,,True,1973-01-01
532,Barry Lam,5.3,Taiwan,electronics,529,72,"Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, National Taiwan University",True,1953-01-01
533,Carlos Rodriguez-Pastor,5.3,Peru,finance,529,62,"Lima, Peru",Peru,,0,"Master of Business Administration, Tuck School of Business; Bachelor of Arts/Science, University of California, Berkeley",False,1963-01-01
534,Shen Guojun,5.3,China,retail,529,58,"Beijing, China",China,Married,0,"Master of Arts, Zhongnan University of Economics and Law",True,1967-01-01
535,Luiza Helena Trajano,5.3,Brazil,retail chain,529,69,"Sao Paulo, Brazil",Brazil,Married,3,,False,1956-01-01
536,Yao Zhenhua & family,5.3,China,conglomerate,529,51,"Shenzhen, China",China,,0,,True,1974-01-01
537,Yu Yong,5.3,China,mining,529,60,"Shanghai, China",China,Married,0,,True,1965-01-01
538,Sam Zell,5.3,United States,"real estate, private equity",529,79,"Chicago, Illinois",United States,Married,3,"Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, University of Michigan",True,1946-01-01
539,John Brown,5.2,United States,medical equipment,539,86,"Atlanta, Georgia",United States,Married,2,"Bachelor of Science in Engineering, Auburn University",True,1939-01-01
540,Giuseppe De'Longhi & family,5.2,Italy,coffee makers,539,82,"Treviso, Italy",Italy,Divorced,2,"Bachelor of Arts/Economics, Università Cà Foscari di Venezia",False,1943-01-01
541,Frank Lowy,5.2,Australia,shopping malls,539,90,"Tel Aviv, Israel",Australia,Married,3,,True,1935-01-01
542,Joe Mansueto,5.2,United States,investment research,539,64,"Chicago, Illinois",United States,Married,3,"Bachelor of Arts/Science, University of Chicago",True,1961-01-01
543,Akio Nitori,5.2,Japan,home furnishings,539,77,"Hokkaido, Japan",Japan,Married,0,,True,1948-01-01
544,Gary Rollins,5.2,United States,pest control,539,76,"Atlanta, Georgia",United States,Divorced,4,"Bachelor of Arts/Science, University of Tennessee Chattanooga",False,1949-01-01
545,Ruan Hongliang & family,5.2,China,glass,539,60,"Jiaxing, China",China,Married,0,,True,1965-01-01
546,Teddy Sagi,5.2,Israel,gambling software,539,49,"Tel Aviv, Israel",Israel,In Relationship,6,,True,1976-01-01
547,Neil Shen,5.2,China,venture capital,539,53,"Hong Kong, China",China,Married,0,"Bachelor of Arts/Science, Shanghai Jiaotong University; Master of Arts, Yale University",True,1972-01-01
548,David Velez,5.2,Colombia,fintech,539,39,"Sao Paulo, Brazil",Colombia,Married,0,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Science, Stanford University",True,1986-01-01
549,Wong Man Li,5.2,Hong Kong,furniture,539,56,"Hong Kong, Hong Kong",Hong Kong,Married,2,,True,1969-01-01
550,Robert Bass,5.1,United States,"oil, investments",550,73,"Fort Worth, Texas",United States,Married,4,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",False,1952-01-01
551,Pierre Chen,5.1,Taiwan,electronics,550,64,"Taipei, Taiwan",Taiwan,Divorced,3,"Bachelor of Arts/Science, National Cheng Kung University",True,1961-01-01
552,Mahendra Choksi & family,5.1,India,paints,550,80,"Mumbai, India",India,Married,2,"Bachelor of Engineering, Bombay University; Master of Science, Bombay University",False,1945-01-01
553,Gustavo Denegri,5.1,Italy,biotech,550,84,"torino, Italy",Italy,Married,2,,True,1941-01-01
554,Reed Hastings,5.1,United States,Netflix,550,60,"Santa Cruz, California",United States,Married,2,"Bachelor of Arts/Science, Bowdoin College; Master of Science, Stanford University",True,1965-01-01
555,Michael Herz,5.1,Germany,coffee,550,77,"Hamburg, Germany",Germany,Married,0,,False,1948-01-01
556,Wolfgang Herz,5.1,Germany,coffee,550,70,"Hamburg, Germany",Germany,,0,,False,1955-01-01
557,Patrick Lee,5.1,Hong Kong,paper,550,79,"Hong Kong, Hong Kong",Hong Kong,Married,5,,True,1946-01-01
558,Lee Yeow Chor & Yeow Seng,5.1,Malaysia,"palm oil, property",550,0,Malaysia,Malaysia,,0,,False,0000-01-01
559,Theo Mueller,5.1,Germany,dairy,550,81,"Zurich, Switzerland",Germany,In Relationship,9,,False,1944-01-01
560,Wu Guanjiang & family,5.1,China,pharmaceuticals,550,52,"Chongqing, China",China,Married,0,,True,1973-01-01
561,Bernard Broermann,5.0,Germany,hospitals,561,77,"Koenigstein, Germany",Germany,Married,3,"Master of Business Administration, Harvard University",True,1948-01-01
562,Jason Chang,5.0,Singapore,electronics,561,77,"Taipei, Taiwan",Singapore,Married,3,"Bachelor of Arts/Science, National Taiwan University",True,1948-01-01
563,Joshua Harris,5.0,United States,private equity,561,56,"New York, New York",United States,Married,5,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True,1969-01-01
564,Vikram Lal & family,5.0,India,motorcycles,561,79,"Delhi, India",India,Married,3,,False,1946-01-01
565,Lin Xiucheng & family,5.0,China,electronics,561,65,"Xiamen, China",China,Married,4,"Bachelor of Arts/Science, Xiamen University",True,1960-01-01
566,Pankaj Patel,5.0,India,pharmaceuticals,561,68,"Ahmedabad, India",India,Married,2,"Bachelor of Arts/Science, Gujarat University; Master of Science, Gujarat University",False,1957-01-01
567,"Enrique Razon, Jr.",5.0,Philippines,ports,561,61,"Manila, Philippines",Philippines,Married,2,,False,1964-01-01
568,"Walter Scott, Jr. & family",5.0,United States,"utilities, telecom",561,89,"Omaha, Nebraska",United States,Widowed,6,"Bachelor of Arts/Science, Colorado State University",True,1936-01-01
569,Charles Simonyi,5.0,United States,Microsoft,561,72,"Medina, Washington",United States,Married,2,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, Berkeley",True,1953-01-01
570,Kate Wang,5.0,China,e-cigarettes,561,39,"Beijing, China",China,,0,"Master of Business Administration, Columbia Business School; Bachelor of Science, Xi'an Jiaotong University",True,1986-01-01
571,Daniel Ziff,5.0,United States,investments,561,49,"New York, New York",United States,Married,1,"Bachelor of Arts/Science, Columbia University",False,1976-01-01
572,Dirk Ziff,5.0,United States,investments,561,57,"North Palm Beach, Florida",United States,Married,2,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard University",False,1968-01-01
573,Robert Ziff,5.0,United States,investments,561,54,"New York, New York",United States,Married,2,"Doctor of Jurisprudence, Cornell University; Bachelor of Arts/Science, Harvard University",False,1971-01-01
574,Stephen Bisciotti,4.9,United States,"staffing, Baltimore Ravens",574,61,"Millersville, Maryland",United States,Married,2,"Bachelor of Arts/Science, Salisbury State University",True,1964-01-01
575,Chen Dongsheng,4.9,China,insurance,574,63,"Beijing, China",China,Married,0,,True,1962-01-01
576,Charles B. Johnson,4.9,United States,money management,574,88,"Palm Beach, Florida",United States,Married,6,"Bachelor of Arts/Science, Yale University",False,1937-01-01
577,Marc Ladreit de Lacharriere,4.9,France,finance,574,80,"Paris, France",France,Divorced,4,,True,1945-01-01
578,Joe Lewis,4.9,United Kingdom,investments,574,84,"Albany, Bahamas",United Kingdom,Married,2,,True,1941-01-01
579,Lin Li,4.9,China,investments,574,58,"Shenzhen, China",China,Married,1,"Chinese Academy of Social Sciences; Bachelor of Arts/Science, Hubei University of Technology",True,1967-01-01
580,Karen Pritzker,4.9,United States,"hotels, investments",574,63,"Branford, Connecticut",United States,Widowed,4,"Bachelor of Arts/Science, Northwestern University",False,1962-01-01
581,Abdulsamad Rabiu,4.9,Nigeria,"cement, sugar",574,60,"Lagos, Nigeria",Nigeria,Married,0,,False,1965-01-01
582,Mark Scheinberg,4.9,Canada,online gambling,574,47,"Isle of Man, United Kingdom",Canada,Single,0,"Drop Out, Fanshawe College",True,1978-01-01
583,Howard Schultz,4.9,United States,Starbucks,574,67,"Seattle, Washington",United States,Married,2,"Bachelor of Arts/Science, Northern Michigan University",True,1958-01-01
584,Yasumitsu Shigeta,4.9,Japan,mobile phone retailer,574,56,"Tokyo, Japan",Japan,Married,3,"Drop Out, Nihon University",True,1969-01-01
